Instruction,Input,Output
How do I Exiting the Fusion Compiler,,"The CLI interface is a text-only environment in which you enter commands at the command-line prompt. It is typically used for scripts, batch mode, and push-button operations. Before you start the command-line interface, ensure that the path to the bin directory is included in your $PATH variable. To start fc_shell, Enter the fc_shell command in a Linux shell. fc_shell You can include other options on the command line when you start the shell. For example, you can use -file script_file_name to execute a script -x command to execute a command -output_log_file file_name to create a log file of your session -help to display a list of the available options (without starting the shell) At startup, the tool : 1. Creates a command log file. 2. Reads and executes the setup files. 3. Executes any script files or commands specified by the -file and -x options, respectively, on the command line. 4. Displays the program header and fc_shell> prompt in the shell. See Also Using the Command Log File Using Setup Files Using Tcl Scripts"
How do I Entering fc_shell,,"You can end the session and exit the Fusion Compiler tool at any time. To exit the tool, use the exit or quit command. Note: When you exit the tool from the command line, the tool exits without saving the open blocks."
How do I Interrupting or Terminating Command Processing,,"You interact with the Fusion Compiler tool by using fc_shell commands, which are based on the Tool Command Language (Tcl) and include certain command extensions needed to implement specific Fusion Compiler functionality. The Fusion Compiler command language provides capabilities similar to Linux command shells, including variables, conditional execution of commands, and control flow commands. You can Enter individual commands interactively at the fc_shell> prompt in fc_shell Enter individual commands interactively on the console command line in the GUI Run one or more Tcl scripts, which are text files that contain fc_shell commands (see Using Tcl Scripts When entering a command, an option, or a file name, you can minimize your typing by pressing the Tab key when you have typed enough characters to specify a unique name; the Fusion Compiler tool completes the remaining characters. If the characters you typed could be used for more than one name, the Fusion Compiler tool lists the qualifying names, from which you can select by using the arrow keys and the Enter key. If you need to reuse a command from the output for a command-line interface, you can copy and paste the portion by selecting it, moving the pointer to the fc_shell command line, and clicking with the middle mouse button. When you run a command, the Fusion Compiler tool echoes the command output (including processing messages and any warnings or error messages) in fc_shell and, if the GUI is open, in the console log view. By default, the tool does not use page mode, so the output might scroll. To enable page mode, set the sh_enable_page_mode variable to true"
How do I Getting Information About Commands,,"If you enter the wrong options for a command or enter the wrong command, you can interrupt command processing and remain in fc_shell. interupting comandscomandsinteruptingterminatingterminating comands To interrupt or terminate a command, press Ctrl+C. Some commands and processes cannot be interrupted. To stop these commands or processes, you must terminate fc_shell at the system level. When you terminate a process or the shell, no data is saved. When you use Ctrl+C, keep the following points in mind: If a script file is being processed and you interrupt one of its commands, the script processing is interrupted and no further script commands are processed. If you press Ctrl+C three times before a command responds to your interrupt, fc_shell is interrupted and exits with this message: Information: Process terminated by interrupt."
How do I Displaying Command Help,,"The following online information resources are available while you are using the Fusion Compiler tool: Command help, which is information about an Fusion Compiler command Man pages See Also Viewing Man Pages"
How do I Using Application Options,,"Command help consists of either a brief description of aFusion Compiler command or a list of the options and arguments supported by an Fusion Compiler command. To display a brief description of a Fusion Compiler command, enter the help command followed by the command name. For example, to display a brief description of the report_timing command, use the following command: fc_shell> help report_timing To display the options supported by a Fusion Compiler command, enter the command name with the -help option on the command line. For example, to see the options supported by the report_timing command, use the following command: fc_shell> report_timing -help"
How do I Using Variables,,"The Fusion Compiler tool uses application options to control the tool behavior. Application options use the following naming convention: category [. subcategory ]. option_name where category is the name of the engine affected by the application option. Some application option categories have subcategories to further refine the area affected by the application option. Application options have either a global scope or a block scope. Block-scoped application options apply only to the block on which they are set. They are saved in the design library and are persistent across tool sessions. Global-scoped application options apply to all blocks, but only within the current session. They are not saved in the design library; you must specify them in each fc_shell session. You might want to consider adding the global settings to your.synopsys_fc.setup file. To get a list of available application options, use the get_app_options command. By default, this command lists all application options. To restrict the reported application options, provide a pattern string as an argument to the command. For example, to list all available application options, use the following command: fc_shell> get_app_options To list all available timer application options, use the following command: fc_shell> get_app_options timer.* To generate a report of application options, use the report_app_options command. For detailed information about application options, see Application Options in the Fusion Compiler Data Model User Guide See Also Using Setup Files"
How do I Viewing Man Pages,,"In general, the Fusion Compiler tool modifies default behavior by using application options rather than application variables; however it does support user-defined Tcl variables, as well as a minimal number of application variables, such as the search_path variable. To list the variables and their values, use the printvar command. For example, to list all variables defined in the current session, use the following command: fc_shell> printvar * To print the value of the search_path variable, use the following command: fc_shell> printvar search_path See Also Defining the Search Path"
How do I Using Tcl Scripts,,"To display the man page for a Fusion Compiler command or application option, enter the man command followed by the command or application option name. For example, to see the man page for the report_timing command, use the following command: fc_shell> man report_timing To display the man page for a Fusion Compiler application option, enter the man command followed by the option name. You can also view the following types of summary pages for application options: Category summaries To view a man page that summarizes all of the application options for a specific category, enter the man command followed by category _options. For example, to see the man page that summarizes all timer application options, use the following command: fc_shell> man timer_options Subcategory summaries To view a man page the summarizes all of the application options for a specific subcategory, enter the man command followed by category subcategory _options. For example, to see the man page that summarizes all common route application options, use the following command: fc_shell> man route.common_options Command summaries To view a man page the summarizes all of the application options for a specific command, enter the man command followed by command _options. For example, to see the man page that summarizes all application options that affect the report_timing command, use the following command: fc_shell> man report_timing_options If you enter the man command on the fc_shell command line, the man page is displayed in the Fusion Compiler shell and in the console log view if the GUI is open. If you enter this command on the console command line in the GUI, the man page is displayed in the GUI man page viewer."
How do I Adding Changes to a Script With Checkpoints,,"You can use Tcl scripts to accomplish routine, repetitive, or complex tasks. You create a command script file by placing a sequence of Fusion Compiler commands in a text file. Any Fusion Compiler command can be executed within a script file. In Tcl, a pound sign (#) at the beginning of a line denotes a comment. For example, # This is a comment For more information about writing scripts and script files, see the Using Tcl With Synopsys Tools manual. Use one of the following methods to run a Tcl script: Use the -file option with the fc_shell command when you start the Fusion Compiler tool. Use the source command from the fc_shell command line. Choose File > Execute Script in the GUI. If an error occurs when running a command, the Fusion Compiler tool raises the TCL_ERROR condition, which immediately stops the script execution. To tolerate errors and allow the script to continue executing, either Check for TCL_ERROR error conditions with the Tcl catch command on the commands that might generate errors. Set the sh_continue_on_error variable to true in the script file. See Also Starting the CLI Adding Changes to a Script With Checkpoints"
How do I Defining Checkpoints,,"When running experiments on a block, you might might modify your golden flow scripts in two ways: By making flow changes, such as setting application options, modifying constraints, or making other changes to improve the quality of results By generating reports (either additional reports or reports at new places in the flow) to help debug an issue In most flows, you apply changes through a small number of static, modifiable files. Here is a typical example to run the place_opt flow, where you source a pre_place_opt_settings.tcl file to add flow changes and a generate_reports.tcl file to run all your reporting at the end of the script: open_block./design:init_design source./scripts/pre_place_opt_settings.tcl remove_buffer_trees -all place_opt -from initial_place -to initial_drc create_placement -incremental -timing_driven -congestion place_opt -from initial_drc -to -initial_opto place_opt -from final_place -to final_opto source./scripts/generate_reports.tcl In some cases, complex changes require modifying your golden flow script directly, which might be discouraged or difficult to do in many design environments. These changes can be time consuming to implement, especially if you are implementing them at multiple stages in the design flow, across multiple blocks, or for several different flow experiments. The checkpoint system streamlines this process and allows you to run experiments without modifying your golden flow scripts. When you use the checkpoint system, you define checkpoints for important steps in your golden flow. These checkpoints enwrap the commands associated with the given steps. By default, the checkpoints run only the code they enwrap. That is, simply inserting checkpoints in your script does not change your flow. However, you can associate these checkpoints with flow changes or reports that you want to run before, after, or in place of the code the checkpoints enwrap. By defining these associations in a portable configuration file, you isolate your golden flow scripts from the changes you want to apply for a particular run. The following figure shows how you can use checkpoints to instantly apply a set of flow changes or reports to multiple designs, without modifying each design's golden flow script. In this case, the configuration file has been copied to each design's run directory. In addition, when multiple users are working on a project, each user can have an individual checkpoint.config.tcl file with his or her preferred settings: The checkpoint system also allows you to Insert flow changes and reports with more precision than you could using a typical non- checkpointed flow script Reference a single source of truth where you can find all changes that have been applied to your default golden flow Report a history of the checkpoints that were run, including the flow changes or reports that were run at those checkpoints Report runtime and memory information for each checkpoint that was run Generate unique and descriptive report names The general process for using the checkpoint system is as follows: 1. Insert checkpoints in your script 2. Configure your checkpoints by Defining the flow changes or reports you want to associate with the checkpoints Associating the flow changes or reports you defined with your checkpoints 3. Run your script."
How do I Configuring Checkpoints,,"To define a checkpoint, insert the eval_checkpoint command in your script. Specify a unique name for the checkpoint and wrap the checkpoint around a block of code. Note the following: If you define a checkpoint with the same name as an existing checkpoint, the tool automatically adds a unique suffix to the name of the newly-defined checkpoint when it encounters the checkpoint in a run. For example, if you duplicate a checkpoint named placement, the tool renames the duplicate to placement2 when it encounters the checkpoint in a run. Do not nest checkpoints within other checkpoints. Although the tool does not prevent you from defining nested checkpoints, the tool ignores nested checkpoints during a run, executing only the outermost checkpoints (note that the Tcl code inside nested checkpoints still runs, but runs as though the checkpoints do not exist). Suppose you have a simple place_opt script: open_block./design:init_design source./scripts/pre_place_opt_settings.tcl remove_buffer_trees -all place_opt -from initial_place -to initial_drc create_placement -incremental -timing_driven -congestion place_opt -from initial_drc -to -initial_opto place_opt -from final_place -to final_opto The following example wraps a checkpoint around each major step in your golden flow. The checkpoints are named remove_buffers, place_opt_to_initial_drc, incr_placement, place_opt_to_initial_opto, and place_opt_to_final_opto. open_block./design.nlib:init_design source./scripts/pre_place_opt_settings.tcl eval_checkpoint remove_buffers { remove_buffer_trees -all eval_checkpoint place_opt_to_initial_drc { place_opt -from initial_place -to initial_drc eval_checkpoint incr_placement { create_placement -incremental -timing_driven -congestion eval_checkpoint place_opt_to_initial_opto { place_opt -from initial_drc -to initial_opto eval_checkpoint place_opt_to_final_opto { place_opt -from final_place -to final_opto By default, the checkpoints run the Tcl code they enwrap. That is, simply inserting checkpoints with the eval_checkpoint command does not change your flow. However, you can associate these checkpoints with flow changes or reports that you want to run before, after, or in place of the code the checkpoints enwrap, as described in Configuring Checkpoints See Also Configuring Checkpoints Querying Checkpoints and Checkpoint Behaviors"
How do I Defining Checkpoint Behaviors,,"For a checkpoint to affect your flow, you must associate it with a flow change or report that you want to run before, after, or in place of the code the checkpoint enwraps. The process of defining flow changes and reports and associating them with individual checkpoints is described in the following topics: Defining Checkpoint Behaviors Associating Checkpoints and Checkpoint Behaviors"
How do I Associating Checkpoints and Checkpoint Behaviors,,"You can define two types of checkpoint behaviors: reports and actions. Define a checkpoint report to generate one or more reports supported by the tool or custom reports you create yourself. Define a checkpoint action to execute any kind of flow change before, after, or in place of the code block enwrapped by a checkpoint. For example, you might set an application option to a specific value before a particular checkpoint. Define these behaviors in your checkpoint.config.tcl file, which is automatically sourced by the checkpoint system. Defining Checkpoint Reports To define a checkpoint report, use the create_checkpoint_report command in your checkpoint.config.tcl file. Specify a unique name for the report and define the Tcl commands to generate the report. The following example defines a checkpoint report named timing, which writes the output of the report_qor and report_timing commands to disk: create_checkpoint_report timing { set name [get_current_checkpoint -name] set pos [get_current_checkpoint -position] report_qor -nosplit >./checkpoint/$name.$pos.qor.rpt report_qor -summary -nosplit >>./checkpoint/$name.$pos.qor.rpt report_timing -nosplit -max_paths 10 \ >./checkpoint/$name.$pos.path.rpt Notice the use of the get_current_checkpoint command with the -name and -position options to give the generated reports a meaningful name. When these reports are generated, their names reflect the checkpoint that triggered them get_current_checkpoint -name ), as well as whether they were generated before or after the checkpoint ( get_current_checkpoint -position ). For example, if this checkpoint report is executed after a checkpoint named checkpoint_A, the generated reports are saved to the checkpoint directory, and the name of the QoR report is checkpoint_A.after.qor.rpt. The next example defines a checkpoint report named app_options, which writes all your non-default application options to disk: create_checkpoint_report app_options { set name [get_current_checkpoint -name] set pos [get_current_checkpoint -position] report_app_options -non_default \ >./checkpoint/$name.$pos.app_options.rpt Defining Checkpoint Actions To define a checkpoint action, use the create_checkpoint_action command in your checkpoint.config.tcl file. Specify a unique name for the action and define the Tcl commands that constitute the action. The following example defines a checkpoint action named gropto, which enables global- route based buffering: create_checkpoint_action gropto { set_app_options -name place_opt.initial_drc.global_route_based \ -value true The next example defines a checkpoint action named placer_high_effort_cong, which runs high-effort congestion reduction: create_checkpoint_action placer_high_effort_cong { set placer_command [get_current_checkpoint -script] set cong_option ""-congestion_effort high"" eval $placer_command $cong_option Notice the use of the get_current_checkpoint -script command and option, which retrieves the command originally enwrapped by the checkpoint and sets its congestion effort to high ( -congestion_effort high ). The -script option is typically used to define actions that replace the contents of a command. In this example, the action modifies the -congestion_effort option of the command that is enwrapped by the checkpoint associated with this action."
How do I Querying Checkpoints and Checkpoint Behaviors,,"After defining checkpoints with the eval_checkpoint command and checkpoint behaviors with the create_checkpoint_* command, you must associate the two so that the tool executes the behaviors when it encounters the checkpoints in a run, as described in the following topics: Associating Checkpoints With Checkpoint Reports Associating Checkpoints With Checkpoint Actions See Also Defining Checkpoints Defining Checkpoint Behaviors Associating Checkpoints With Checkpoint Reports To associate a checkpoint report with one or more checkpoints, use the associate_checkpoint_report command in your checkpoint.config.tcl file. Specify the checkpoint report name with the -enable option. To enable the report to run before one or more checkpoints, specify the checkpoint names with the -before option. To enable the report to run after one or more checkpoints, specify the checkpoint names with the -after option. When associating a report with multiple checkpoints, you can list the checkpoint names or specify the asterisk wildcard character. Assume you have defined three checkpoints in your script named remove_buffers, place_opt_to_initial_opto, and place_opt_to_final_opto using the eval_checkpoint command, and two checkpoint reports named timing and app_options using the create_checkpoint_report command. To enable your timing report to run after the place_opt_to_initial_opto and place_opt_to_final_opto checkpoints, use the following command: associate_checkpoint_report -enable timing \ -after { place_opt_to_initial_opto place_opt_to_final_opto } To enable your app_options report to run before all the checkpoints in your script, use the following command: associate_checkpoint_report -enable app_options -before * You can also add the command like this, which enables the report to run before the remove_buffers checkpoint and any checkpoints beginning with the phrase place_opt: associate_checkpoint_report -enable app_options -before remove_buffers place_opt* The following is a portion of your checkpointed script showing what happens when the script runs. Note that the highlighted code is not actually in your script, but shows the checkpoint behaviors that are executed when the tool encounters the checkpoints in the run. The code that is commented out identifies the original script body The blue code identifies the checkpointed Tcl commands in your golden flow The green code identifies the app_options report, configured to run before each checkpoint The code identifies the timing report, configured to run after the place_opt_to_final_opto checkpoint Associating Checkpoints With Checkpoint Actions To associate a checkpoint action with one or more checkpoints, use the associate_checkpoint_action command in your checkpoint.config.tcl file. Specify the checkpoint action name with the -enable option. To enable the action to run before one or more checkpoints, specify the checkpoint names with the -before option. To enable the action to run after one or more checkpoints, specify the checkpoint names with the -after option. To enable the action to run instead of the code block enwrapped by the checkpoint, specify the checkpoint names with the -replace option. When associating an action with multiple checkpoints, you can list the checkpoint names or specify the asterisk wildcard character. Assume you have defined two checkpoints in your script named place_opt_to_initial_drc and incr_placement with the eval_checkpoint command, and two checkpoint actions named gropto and placer_high_effort_cong with the create_checkpoint_action command. To enable your gropto action to run before the place_opt_to_initial_drc checkpoint, use the following command: associate_checkpoint_action -enable gropto \ -before place_opt_to_initial_drc To enable your placer_high_effort_cong action to run instead of the code block enwrapped by the incr_placement checkpoint, use the following command: associate_checkpoint_action -enable placer_high_effort_cong \ -replace incr_placement The following is a portion of your checkpointed script showing what happens when the script runs. Note that the highlighted code is not actually in your script, but shows the checkpoint behaviors that are executed when the tool encounters the checkpoints in a run. The code that is commented out identifies the original script body The blue code identifies the checkpointed Tcl commands in your golden flow The green code identifies the gropto action, configured to run before the place_opt_to_initial_drc checkpoint The code identifies the placer_high_effort_cong action, configured to run in place of the code block enwrapped by the incr_placement checkpoint Associating a Checkpoint With Multiple Behaviors When you associate a checkpoint with multiple behaviors, the tool executes those behaviors in the following order: Any reports configured to run before the checkpoint Any actions configured to run before the checkpoint The checkpointed code block, or any actions configured to replace it Any actions configured to run after the checkpoint Any reports configured to run after the checkpoint If multiple reports or multiple actions are configured to run at the same position ( -before -after, or -replace ) in the same checkpoint, the tool executes them in the order in which they were associated with the checkpoint with the associate_checkpoint_* commands. For example, suppose you define a timing report before an area report. If you associate the area report to run after a checkpoint before you associate the timing report to run after the same checkpoint, the tool runs the area report first when it encounters the checkpoint. See Also Defining Checkpoints Defining Checkpoint Behaviors Querying Checkpoints and Checkpoint Behaviors"
How do I Viewing Your Checkpoint History,,"To return a list of all the checkpoints or checkpoint behaviors in the current session, or to return detailed information for any checkpoint or checkpoint behavior, use the get_checkpoint_data command. To return a list of all the checkpoints that have been executed, specify the -list_names option: fc_shell> get_checkpoint_data -list_names remove_buffers place_opt_to_initial_drc incr_placement place_opt_to_initial_opto place_opt_to_final_opto To return detailed information for a checkpoint, specify the checkpoint with the -name option. The tool returns the output as a Tcl dictionary: fc_shell> get_checkpoint_data -name place_opt_to_initial_drc memory 173.85 start_time 2.34 end_time 2.34 before_runtime 2.34 before_report_runtime 0.00 after_report_runtime 0.00 self_runtime 0.00 before_reports {} after_reports {app_options timing} before_actions {gropto} after_actions {} replace_actions {} To return a list of all the checkpoint behaviors defined in your configuration, specify the -list_reports or -list_actions option: fc_shell> get_checkpoint_data -list_reports timing app_options fc_shell> get_checkpoint_data -list_actions gropto placer_high_effort_congestion To return the contents and associations of a checkpoint report or action, specify the report or action with the -report or -action option: fc_shell> get_checkpoint_data -report app_options contents { set name [get_current_checkpoint -name] set pos [get_current_checkpoint -position] report_app_options -non_default \ >./checkpoint/$name.$pos.app_options.rpt } before_patterns {*} after_patterns {} See Also Viewing Your Checkpoint History"
